"address","lat","long","accuracy"
"<U+0643><U+0648><U+0627><U+0632><U+064A><U+0628><U+0627>",29.2985278,42.5509603,"colloquial_area"
"<U+0628><U+0650><U+064A><U+062A> <U+0623><U+064F><U+0648><U+0644><U+0627>",31.598422,35.026375,"locality"
"<U+0628><U+0650><U+064A><U+062A> <U+0623><U+064F><U+0648><U+0644><U+0627>",31.598422,35.026375,"locality"
"<U+0633><U+064E><U+0639><U+0650><U+064A><U+0652><U+0631>",31.582455,35.143776,"locality"
"<U+0633><U+064E><U+0639><U+0650><U+064A><U+0652><U+0631>",31.582455,35.143776,"locality"
"<U+0633><U+064E><U+0639><U+0650><U+064A><U+0652><U+0631>",31.582455,35.143776,"locality"
"<U+0633><U+064E><U+0639><U+0650><U+064A><U+0652><U+0631>",31.582455,35.143776,"locality"
"<U+062D><U+064E><U+0644><U+0652><U+062D><U+064F><U+0648><U+0644>",31.5798898,35.0999042,"locality"
"<U+062D><U+064E><U+0644><U+0652><U+062D><U+064F><U+0648><U+0644>",31.5798898,35.0999042,"locality"
"<U+0627><U+0644><U+0634><U+064F><U+064A><U+064F><U+0648><U+062E>",31.574996,35.149421,"locality"
"<U+0625><U+0630><U+0652><U+0646><U+064E><U+0627>",31.557252,34.979243,"locality"
"<U+0625><U+0630><U+0652><U+0646><U+064E><U+0627>",31.557252,34.979243,"locality"
"<U+0648><U+0627><U+062F><U+064A> <U+0627><U+0644><U+0631><U+0650><U+064A><U+0645>",23.9541516,39.4243113,"locality"
"<U+062A><U+064E><U+0641><U+0651><U+064F><U+0648><U+062D>",31.538448,35.050973,"locality"
"<U+062F><U+0650><U+064A><U+0631> <U+0633><U+064E><U+0627><U+0645><U+0650><U+062A>",31.519929,34.972671,"locality"
"<U+0645><U+0633><U+0627><U+0641><U+0631> <U+0628><U+0646><U+064A> <U+0646><U+0639><U+064A><U+0645> (<U+062E><U+064E><U+0644><U+0651><U+0650><U+0629><U+0652> <U+0627><U+0644><U+0645><U+0633><U+0627><U+0641><U+0631>)",31.514866,35.16534,"locality"
"<U+062F><U+064F><U+0648><U+0631><U+064E><U+0627>",31.505093,35.027527,"locality"
"<U+062F><U+064F><U+0648><U+0631><U+064E><U+0627>",31.505093,35.027527,"locality"
"<U+062F><U+064F><U+0648><U+0631><U+064E><U+0627>",31.505093,35.027527,"locality"
"<U+062F><U+064F><U+0648><U+0631><U+064E><U+0627>",31.505093,35.027527,"locality"
"<U+062F><U+064F><U+0648><U+0631><U+064E><U+0627>",31.505093,35.027527,"locality"
"<U+0648><U+0627><U+062F><U+064A> <U+0639><U+064F><U+0628><U+064E><U+064A><U+0652><U+062F>",32.879309,35.25926,"establishment"
"<U+0648><U+0627><U+062F><U+064A> <U+0639><U+064F><U+0628><U+064E><U+064A><U+0652><U+062F>",32.879309,35.25926,"establishment"
"<U+0627><U+0644><U+0645><U+064E><U+062C><U+0652><U+062F>",31.0843281,30.6631289,"administrative_area_level_3"
"<U+0648><U+0627><U+062F><U+064A> <U+0627><U+0644><U+0634><U+064E><U+0627><U+062C><U+0650><U+0646><U+064E><U+0629>",29.2985278,42.5509603,"colloquial_area"
"<U+0627><U+0644><U+0635><U+064F><U+0631><U+0651><U+064E><U+0629>",30.5257657,47.773797,"locality"
"<U+0627><U+0644><U+0635><U+064F><U+0631><U+0651><U+064E><U+0629>",30.5257657,47.773797,"locality"
"<U+0632><U+0650><U+064A><U+0641><U+0652>",31.4694845,35.1320669,"locality"
"<U+0625><U+0645><U+0631><U+0650><U+064A><U+0634>",29.2985278,42.5509603,"colloquial_area"
"<U+0625><U+0645><U+0631><U+0650><U+064A><U+0634>",29.2985278,42.5509603,"colloquial_area"
"<U+0625><U+0645><U+0631><U+0650><U+064A><U+0634>",29.2985278,42.5509603,"colloquial_area"
"<U+0628><U+0650><U+064A><U+062A> <U+0645><U+0650><U+0631><U+0652><U+0633><U+0650><U+0645>",31.453869,34.91217,"locality"
"<U+0628><U+0650><U+064A><U+062A> <U+0627><U+0644><U+0631><U+064F><U+0648><U+0634><U+0652> <U+0627><U+0644><U+0641><U+064F><U+0648><U+0642><U+0627>",31.452678,34.926241,"locality"
"<U+0628><U+0650><U+064A><U+062A> <U+0639><U+064E><U+0645><U+0652><U+0631><U+064E><U+0629>",31.447734,35.053087,"locality"
"<U+0628><U+0650><U+064A><U+062A> <U+0639><U+064E><U+0645><U+0652><U+0631><U+064E><U+0629>",31.447734,35.053087,"locality"
"<U+064A><U+064E><U+0637><U+0651><U+064E><U+0627>",31.44415,35.090105,"locality"
"<U+064A><U+064E><U+0637><U+0651><U+064E><U+0627>",31.44415,35.090105,"locality"
"<U+064A><U+064E><U+0637><U+0651><U+064E><U+0627>",31.44415,35.090105,"locality"
"<U+064A><U+064E><U+0637><U+0651><U+064E><U+0627>",31.44415,35.090105,"locality"
"<U+064A><U+064E><U+0637><U+0651><U+064E><U+0627>",31.44415,35.090105,"locality"
"<U+064A><U+064E><U+0637><U+0651><U+064E><U+0627>",31.44415,35.090105,"locality"
"<U+064A><U+064E><U+0637><U+0651><U+064E><U+0627>",31.44415,35.090105,"locality"
"<U+064A><U+064E><U+0637><U+0651><U+064E><U+0627>",31.44415,35.090105,"locality"
"<U+0631><U+064E><U+0627><U+0628><U+064F><U+0648><U+062F>",31.431382,35.021854,"locality"
"<U+0631><U+064E><U+0627><U+0628><U+064F><U+0648><U+062F>",31.431382,35.021854,"locality"
"<U+0631><U+064E><U+0627><U+0628><U+064F><U+0648><U+062F>",31.431382,35.021854,"locality"
"<U+0633><U+062F><U+0629> <U+0627><U+0644><U+062B><U+0639><U+0644><U+0629>",30.711949,52.1726505,"locality"
"<U+0627><U+0644><U+0643><U+064E><U+0631><U+0652><U+0645><U+0650><U+0644>",31.432786,35.182268,"locality"
"<U+0627><U+0644><U+0643><U+064E><U+0631><U+0652><U+0645><U+0650><U+0644>",31.432786,35.182268,"locality"
"<U+0627><U+0644><U+0643><U+064E><U+0631><U+0652><U+0645><U+0650><U+0644>",31.432786,35.182268,"locality"
"<U+0627><U+0644><U+062A><U+064E><U+0648><U+0627><U+0646><U+0650><U+064A>",33.7805063,36.5040446,"locality"
"<U+0627><U+0644><U+0633><U+064E><U+0645><U+064F><U+0648><U+0639>",31.39861,35.065288,"locality"
"<U+0627><U+0644><U+0633><U+064E><U+0645><U+064F><U+0648><U+0639>",31.39861,35.065288,"locality"
"<U+062E><U+0650><U+0631><U+0652><U+0628><U+0650><U+0629> <U+0627><U+0644><U+0641><U+064E><U+062E><U+0650><U+064A><U+062A>",29.2985278,42.5509603,"colloquial_area"
"<U+062E><U+0650><U+0631><U+0652><U+0628><U+0650><U+0629> <U+0627><U+0644><U+0641><U+064E><U+062E><U+0650><U+064A><U+062A>",29.2985278,42.5509603,"colloquial_area"
"<U+062E><U+0650><U+0631><U+0652><U+0628><U+0650><U+0629> <U+0627><U+0644><U+0641><U+064E><U+062E><U+0650><U+064A><U+062A>",29.2985278,42.5509603,"colloquial_area"
"<U+062E><U+0650><U+0631><U+0652><U+0628><U+0650><U+0629> <U+0627><U+0644><U+0641><U+064E><U+062E><U+0650><U+064A><U+062A>",29.2985278,42.5509603,"colloquial_area"
"<U+062E><U+0650><U+0631><U+0652><U+0628><U+0650><U+0629> <U+0628><U+0650><U+064A><U+0631> <U+0627><U+0644><U+0639><U+0650><U+062F>",31.3738995,35.1312666,"locality"
"<U+062E><U+0650><U+0631><U+0652><U+0628><U+0650><U+0629> <U+0628><U+0650><U+064A><U+0631> <U+0627><U+0644><U+0639><U+0650><U+062F>",31.3738995,35.1312666,"locality"
"<U+062E><U+0650><U+0631><U+0652><U+0628><U+0650><U+0629> <U+0628><U+0650><U+064A><U+0631> <U+0627><U+0644><U+0639><U+0650><U+062F>",31.3738995,35.1312666,"locality"
"<U+062E><U+0650><U+0631><U+0652><U+0628><U+0650><U+0629> <U+0632><U+064E><U+0646><U+0651><U+064F><U+0648><U+062A><U+064E><U+0629>",31.3711203,34.9952163,"locality"
"<U+0639><U+064E><U+0631><U+064E><U+0628> <U+0627><U+0644><U+0641><U+064F><U+0631><U+064E><U+064A><U+0652><U+062C><U+064E><U+0627><U+062A>",31.3560126,34.9208044,"locality"
"<U+0628><U+0650><U+064A><U+062A> <U+0644><U+0627><U+0647><U+0652><U+064A><U+0627>",31.551289,34.509222,"locality"
"<U+0628><U+0650><U+064A><U+062A> <U+062D><U+064E><U+0627><U+0646><U+064F><U+0648><U+0646>",31.538483,34.53677,"locality"
"<U+063A><U+0632><U+0651><U+0629>",31.3546763,34.3088255,"administrative_area_level_1"
"<U+0627><U+0644><U+0642><U+064E><U+0631><U+064E><U+0627><U+0631><U+064E><U+0629>",22.7594236,44.5254689,"locality"
"<U+062E><U+0627><U+0646><U+064A><U+0648><U+0646><U+0633>",31.3462005,34.3039986,"locality"
"<U+062E><U+0627><U+0646><U+064A><U+0648><U+0646><U+0633>",31.3462005,34.3039986,"locality"
"<U+062E><U+0627><U+0646><U+064A><U+0648><U+0646><U+0633>",31.3462005,34.3039986,"locality"
"<U+062E><U+0627><U+0646><U+064A><U+0648><U+0646><U+0633>",31.3462005,34.3039986,"locality"
"<U+062E><U+0627><U+0646><U+064A><U+0648><U+0646><U+0633>",31.3462005,34.3039986,"locality"
"<U+062E><U+0627><U+0646><U+064A><U+0648><U+0646><U+0633>",31.3462005,34.3039986,"locality"
"<U+062E><U+0627><U+0646><U+064A><U+0648><U+0646><U+0633>",31.3462005,34.3039986,"locality"
"<U+0631><U+064E><U+0641><U+064E><U+062D>",31.29678,34.243482,"locality"
"<U+0631><U+064E><U+0641><U+064E><U+062D>",31.29678,34.243482,"locality"
"<U+0645><U+064F><U+062E><U+064E><U+064A><U+0651><U+064E><U+0645> <U+0631><U+064E><U+0641><U+064E><U+062D>",31.29678,34.243482,"locality"
