"","X","Y","religion"
"202",34.9643108,31.5328112,"muslim"
"203",35.0868741,31.5232298,"muslim"
"204",34.9785162,31.4201885,"muslim"
"205",35.1097828,31.5159536,"muslim"
"206",35.0870842,31.5122135,"muslim"
"207",35.0890333,31.5605765,"muslim"
"208",35.1007283,31.5582606,"muslim"
"209",34.9704106,31.4064052,"muslim"
"210",35.148001,31.6263272,"muslim"
"211",35.1213898,31.4325209,"muslim"
"212",35.0996043,31.5155332,"muslim"
"213",34.9694713,31.5344147,"muslim"
"214",35.0954568,31.550713,"muslim"
"215",35.0856282,31.5349939,"christian"
"216",35.0336491,31.6104567,"muslim"
"217",35.0865982,31.5344153,"muslim"
"218",34.9759794,31.4071336,"muslim"
"219",35.0775524,31.5098852,"muslim"
"220",35.1574849,31.6276169,"muslim"
"221",35.0951274,31.5207444,"muslim"
"222",35.0939709,31.5575285,"muslim"
"223",35.1474356,31.5869256,"muslim"
"224",35.0651938,31.5695514,"muslim"
"225",35.0750935,31.5036062,"muslim"
"226",35.0802044,31.5404545,"muslim"
"227",35.1428435,31.5815819,"muslim"
"228",34.9978429,31.4681947,"muslim"
"229",35.0980796,31.5304237,"muslim"
"230",35.1024296,31.6205317,"muslim"
"231",35.1046068,31.4532084,"muslim"
"232",35.0747427,31.5678432,"muslim"
"233",35.0734181,31.4466273,"muslim"
"234",34.9686397,31.4158427,"muslim"
"235",35.0551168,31.5729593,"muslim"
"236",35.0655287,31.4774233,"muslim"
"237",35.1032769,31.5285454,"muslim"
"238",35.1944117,32.2969421,"muslim"
"239",35.0963296,31.4475272,"muslim"
"240",35.2357148,32.2225384,"christian"
"241",35.0897327,31.4457173,"muslim"
"242",35.0730189,31.5094023,"muslim"
"243",35.0299615,31.5967287,"muslim"
"244",35.2408651,32.2229425,"christian"
"245",35.337573,32.0852118,"muslim"
"246",35.2560488,32.0845086,"muslim"
"247",35.293161,32.1901091,"muslim"
"248",35.2841384,32.0996812,"muslim"
"249",35.0535856,31.4756303,"muslim"
"250",35.2570787,32.152366,"muslim"
"251",35.335665,32.1759681,"muslim"
"252",35.2404896,32.1456627,"muslim"
"253",35.2641438,32.1371592,"muslim"
"254",35.2560735,32.1516769,"muslim"
"255",35.0733444,31.5304028,"muslim"
"256",35.344287,32.1302743,"muslim"
"257",35.2313824,32.1847209,"muslim"
"258",35.292486,32.0855116,"muslim"
"259",35.1952956,32.3013312,"muslim"
"260",35.0276582,31.4522068,"muslim"
"261",35.0961255,31.5294492,"muslim"
"262",35.344789,32.1271838,"muslim"
"263",35.3097831,32.1250565,"muslim"
"264",35.2565672,32.2298237,"muslim"
"265",35.1026876,31.5204111,"muslim"
"266",35.0647704,31.5696263,"muslim"
"267",35.2466955,32.224439,"muslim"
"268",35.2868302,32.1025814,"muslim"
"269",35.1010071,31.4535242,"muslim"
"270",35.0277527,31.5967243,"muslim"
"271",35.332257,32.2084266,"muslim"
"272",35.2816176,32.1944208,"muslim"
"273",35.0887494,31.4548648,"muslim"
"274",35.1961838,32.2763562,"christian"
"275",35.2732924,32.1520397,"muslim"
"276",35.0773072,31.4698982,"muslim"
"277",35.1639896,32.3068674,"muslim"
"278",35.2899555,32.2180563,"muslim"
"279",35.3277615,32.1882805,"muslim"
"280",35.3081114,32.125149,"muslim"
"281",35.2820464,32.2066829,"muslim"
"282",35.1979911,32.2252589,"muslim"
"283",35.2702025,32.2198582,"muslim"
"284",35.3312685,32.2094137,"muslim"
"285",35.3282802,32.0856418,"muslim"
"286",34.9717028,31.5202068,"muslim"
"287",35.080391,31.6337426,"muslim"
"288",35.3319153,32.209466,"muslim"
"289",35.110175,31.4520758,"muslim"
"290",35.2205389,32.2245452,"muslim"
"291",35.3194073,32.2166387,"muslim"
"292",35.1476658,31.5773559,"muslim"
"293",35.2947186,32.1907723,"muslim"
"294",35.2173043,32.2305065,"muslim"
"295",35.2963689,32.2201866,"muslim"
"296",35.0774027,31.4671535,"muslim"
"297",35.1965375,32.2238752,"muslim"
"298",35.2382781,32.2021659,"muslim"
"299",35.2463971,32.2349444,"muslim"
"300",35.2791043,32.2073977,"muslim"
"301",35.092333,31.5282123,"muslim"
"302",35.1902243,32.2530116,"muslim"
"303",35.2276435,32.2230578,"muslim"
"304",35.1079572,31.5496914,"muslim"
"305",35.2853903,32.2094254,"christian"
"306",35.2008617,32.2660657,"muslim"
"307",35.197072,32.2973044,"christian"
"308",35.0108508,31.4659209,"muslim"
"309",35.1199784,31.4569157,"muslim"
"310",35.2141557,32.275383,"muslim"
"311",35.2426762,32.0687797,"muslim"
"312",35.2831267,32.1934847,"muslim"
"313",35.0561502,31.4798505,"muslim"
"314",35.0999289,31.5366957,"muslim"
"315",35.1948837,32.3022066,"muslim"
"316",35.3665818,32.0569135,"muslim"
"317",35.1902295,32.2107111,"muslim"
"318",35.0875251,31.5407357,"muslim"
"319",35.2001547,32.1309198,"muslim"
"320",35.0913083,31.5499779,"muslim"
"321",35.0365596,31.6071793,"muslim"
"322",35.325122,32.0901736,"muslim"
"323",34.9454647,31.5072762,"muslim"
"324",35.0598443,31.5026817,"muslim"
"325",35.3101154,32.2235561,"muslim"
"326",35.1924062,32.2107214,"muslim"
"327",35.2432448,32.232306,"muslim"
"328",35.2647555,32.2215712,"muslim"
"329",34.9733181,31.4106064,"muslim"
"330",35.285811,32.1058542,"muslim"
"331",34.9755483,31.5185458,"muslim"
"332",35.2833665,32.1420594,"muslim"
"333",35.1963955,32.276699,"muslim"
